id,title,region,rule,matched,primaryMuscles,vendorGroup,already
ea_single_dumbbell_biceps_curls,Single Dumbbell Biceps Curls,elbow,elbow_curl_load,curls,biceps,Biceps,False
ea_ski_ergometer_cross_country_ski_face_biceps_curl_pull,Ski Ergometer Cross Country Ski Face Biceps Curl Pull,elbow,elbow_curl_load,curl,biceps,Calisthenics-Cardio-Plyo-Functional,False
ea_ski_ergometer_cross_country_ski_reverse_triceps_extension_pull,Ski Ergometer Cross Country Ski Reverse Triceps Extension Pull,elbow,elbow_extension_load,triceps,triceps,Calisthenics-Cardio-Plyo-Functional,False
ea_ski_ergometer_cross_country_ski_triceps_extension_pull,Ski Ergometer Cross Country Ski Triceps Extension Pull,elbow,elbow_extension_load,triceps,triceps,Calisthenics-Cardio-Plyo-Functional,False
ea_spider_curl_barbell,Spider Curl Barbell,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_spider_curl_dumbbells_simultaneous,Spider Curl Dumbbells Simultaneous,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_spider_curl_ez_bar,Spider Curl Ez Bar,elbow,elbow_curl_load,curl,biceps,Biceps,False
ea_spider_plank,Spider Plank,elbow,elbow_locked_support,plank,core,Abdominals,False
ea_straight_bar_cable_row_close_grip,Straight Bar Cable Row Close Grip,elbow,elbow_extension_load,close grip,lats,Back,False
ea_supine_push_up,Supine Push Up,elbow,elbow_locked_support,push up,"traps,shoulders",Back,False
ea_suspension_trainer_with_grips_chin_up,Suspension Trainer with Grips Chin-up,elbow,elbow_flexion_load,chin up,"biceps,lats",Back,False
ea_suspension_trainer_with_grips_decline_push_up,Suspension Trainer with Grips Decline Push-up,elbow,elbow_locked_support,push up,chest,Chest,False
ea_suspension_trainer_with_grips_pull_up,Suspension Trainer with Grips Pull-up,elbow,elbow_flexion_load,pull up,lats,Back,False
ea_suspension_trainer_with_grips_push_up_to_side_plank,Suspension Trainer with Grips Push-up to Side Plank,elbow,elbow_locked_support,push up,"chest,shoulders,core",Chest,False
ea_suspension_trainer_with_grips_reverse_push_up,Suspension Trainer with Grips Reverse Push-up,elbow,elbow_locked_support,push up,"chest,triceps",Chest,False
ea_suspension_trainer_with_grips_triceps_extension,Suspension Trainer with Grips Triceps Extension,elbow,elbow_extension_load,triceps,triceps,Triceps,False
ea_tricep_cable_kickback_on_crossover_machine,Tricep Cable Kickback on Crossover Machine,elbow,elbow_extension_load,tricep,triceps,Triceps,False
ea_tricep_extension_machine,Tricep Extension Machine,elbow,elbow_extension_load,tricep,triceps,Triceps,False
ea_tricep_rope_extension_on_crossover_machine,Tricep Rope Extension on Crossover Machine,elbow,elbow_extension_load,tricep,,Triceps,False
ea_triceps_dip_machine,Triceps Dip Machine,elbow,elbow_extension_load,triceps,triceps,Triceps,False
ea_triceps_light_stretch,Triceps Light Stretch,elbow,elbow_extension_load,triceps,triceps,Stretching - Mobility,False
ea_unilateral_front_plank,Unilateral Front Plank,elbow,elbow_locked_support,plank,,Calisthenics-Cardio-Plyo-Functional,False
ea_unilateral_plank,Unilateral Plank,elbow,elbow_locked_support,plank,,Calisthenics-Cardio-Plyo-Functional,False
ea_wide_push_ups_bodyweight,Wide Push Ups Bodyweight,elbow,elbow_locked_support,push ups,chest,Chest,False
ea_wrist_curl_barbell,Wrist Curl Barbell,elbow,elbow_curl_load,curl,forearms,Forearms,False
ea_wrist_curl_dumbbell,Wrist Curl Dumbbell,elbow,elbow_curl_load,curl,forearms,Forearms,False
ea_zotman_curls_resistance_band_simultaneous,Zotman Curls Resistance Band Simultaneous,elbow,elbow_curl_load,curls,biceps,Biceps,False
